2020-2021 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Cole Anthony,Orl,G,20.62,4,17.9,37.2,21.5,8,10,1,21,0.429,9,0.222,0.4,0.494,8.5,4.5,13.2,4.3,31.2,0.75,0,0.75,10.6,107.3,97.5
,OG Anunoby,Tor,F,23.46,3,36,75.1,13.3,14.4,6,0.667,10,0.8,17,0.353,0.63,0.641,12.7,6.7,9.5,1.7,7,3.33,1.33,1.67,5.8,111.8,96.9
,Ryan Arcidiacono,Chi,G,26.76,2,14,29.2,14.8,0,3,1,4,0.5,5,0.2,0.389,0.484,5,3,11.7,2,20.9,1,0,0,8.1,98.9,100.4
,D.J. Augustin,Mil,G,33.14,3,16,33.3,18.5,9.2,6,1,6,0.333,11,0.455,0.559,0.636,8.3,1.7,5.6,1.3,10,0,0,0.67,6.6,131.4,113.6
,Deni Avdija,Was,F,19.99,4,26.3,54.8,9.9,11.8,3,0.333,8,0.5,13,0.538,0.69,0.672,7.5,5,10.1,2.5,12.2,1.25,0.25,0.75,6.9,123.4,97.5
,Deandre Ayton,Pho,C,22.44,4,27.5,57.2,18.5,10.8,12,0.583,34,0.529,2,0.5,0.542,0.557,11.5,11.8,23.5,1.8,9.5,0.25,1,1.25,9.4,110.2,94.4
,Udoka Azubuike,Uta,C-F,21.29,1,3.6,7.5,11.4,0,0,0,1,1,0,0,1,1,2,1,14.4,0,0,0,0,0,0,98.4,88.7
,Dwayne Bacon,Orl,G-F,25.33,4,19.9,41.5,12.8,8,2,1,18,0.611,4,0.5,0.636,0.656,7.5,3.8,9.9,1,6.7,0.25,0.25,0.5,6.1,115.4,104.6
,Marvin Bagley III,Sac,F,21.8,4,24.7,51.4,27.7,12.4,17,0.588,37,0.486,12,0.25,0.459,0.487,13.8,7.5,17,0.8,4.8,0.5,0.25,2,7.1,88.9,94
,LaMelo Ball,Cha,G,19.36,3,17,35.5,24,26.8,2,0.5,11,0.273,10,0.4,0.429,0.434,6.3,4,12,3,24.1,1.33,0,2.67,9.9,76.5,91.8
,Lonzo Ball,Nor,G,23.18,4,30.7,63.9,20.9,21.8,8,0.625,15,0.533,28,0.286,0.465,0.484,11.3,3.8,6.8,3.5,18.1,2,0.75,3.25,6.9,86.7,96.1
,Desmond Bane,Mem,G,20,3,18.9,39.4,10.9,13.3,0,0,2,0,11,0.545,0.692,0.692,6,2.7,7.1,0,0,0,0,0.67,5.9,99.2,97.5
,Harrison Barnes,Sac,F,28.58,4,34.6,72,19,9.7,11,0.727,39,0.487,12,0.25,0.461,0.492,13.8,8.3,13.3,3.8,15.9,0.5,0.25,1.5,7.6,101,106.8
,RJ Barrett,Nyk,F-G,20.54,4,37.1,77.3,22.8,11.4,18,0.778,46,0.457,16,0.188,0.411,0.465,16.3,7.3,10.2,3.8,16.2,0.75,0,2.25,7.9,97.4,98.2
,Will Barton,Den,G,29.98,4,26.6,55.5,21.7,5.6,11,0.636,34,0.441,12,0.333,0.457,0.482,12.3,3.8,8.3,2,10.7,0.75,0.5,0.75,7.2,103.9,106.6
